DMS_id,UniProt_ID,selection_type,spearman,n_variants
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,0.010099991976222241,2770
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Activity,0.18955496893324045,5345
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.27797667794567205,10094
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.05351961615007186,496137
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Activity,0.20690676811125958,6227
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Binding,0.033357937740436175,2223
RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,0.08921581681989135,12003
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Activity,0.2534924266575313,1567
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,0.1722396542373948,1380
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Activity,0.16438419755429612,3637
TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.12364941441138866,1519
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Expression,-0.05385916127454311,245
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,OrganismalFitness,0.20026329022518502,989
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Expression,0.2366455859371531,359
PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.3173458243530147,37708
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.13648454255231116,12729
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Stability,0.12710614045617533,2915
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,OrganismalFitness,0.14281020210562023,224
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,-0.11301340687416038,3297
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Stability,0.24099182304802905,2068
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Stability,0.07509848228195663,912
A4D664_9INFA_Soh_2019,A4D664_9INFA,OrganismalFitness,0.06205021597299634,14421
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Stability,0.21872854748049428,1903
SERC_HUMAN_Xie_2023,SERC_HUMAN,OrganismalFitness,0.14714059128157014,1914
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Stability,0.2069503583848753,1556
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Activity,0.131535652490415,9576
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,-0.015259991243088439,209
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,OrganismalFitness,0.09140237312022334,1801
A4_HUMAN_Seuma_2022,A4_HUMAN,Stability,0.018214497183586538,14811
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,Stability,0.1344321886200145,1195
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,OrganismalFitness,-0.15953873675498664,7467
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,Stability,0.07135659136685532,723
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Expression,0.16812118880359714,6769
