UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.03543848678078347,1
A0A192B1T2_9HIV1,OrganismalFitness,0.1515637808580374,1
A0A1I9GEU1_NEIME,Activity,-0.011898204225518927,1
A0A247D711_LISMN,Activity,0.09067725306442515,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.07336054641929701,2
A4D664_9INFA,OrganismalFitness,0.06205021597299634,1
A4GRB6_PSEAI,OrganismalFitness,0.1798421924815129,1
A4_HUMAN,Stability,0.018214497183586538,1
AACC1_PSEAI,OrganismalFitness,0.09140237312022334,1
ACE2_HUMAN,Binding,0.033357937740436175,1
ADRB2_HUMAN,Activity,0.2504118933895353,1
AICDA_HUMAN,Activity,-0.015259991243088439,1
AMFR_HUMAN,Stability,-0.1553719693778093,1
AMIE_PSEAE,Activity,0.20690676811125958,1
ANCSZ,Activity,0.3255728053797494,1
ARGR_ECOLI,Stability,0.16728264333997922,1
B2L11_HUMAN,Binding,0.15917542846376007,1
BBC1_YEAST,Stability,-0.15303063114566848,1
BCHB_CHLTE,Stability,-0.04574425381068846,1
BLAT_ECOLX,OrganismalFitness,0.19213744680263536,4
BRCA1_HUMAN,OrganismalFitness,0.10633395738550755,1
BRCA2_HUMAN,OrganismalFitness,-0.07043147893482403,1
C6KNH7_9INFA,OrganismalFitness,0.0697283358243996,1
CALM1_HUMAN,OrganismalFitness,0.13161486846734305,1
CAPSD_AAV2S,OrganismalFitness,0.32578841373135214,1
CAR11_HUMAN,OrganismalFitness,0.04156959977349478,2
CAS9_STRP1,Activity,0.04342432130055798,1
CASP3_HUMAN,Activity,0.2534924266575313,1
CASP7_HUMAN,Activity,0.16819432178599988,1
CATR_CHLRE,Stability,0.21872854748049428,1
CBPA2_HUMAN,Stability,0.24099182304802905,1
CBS_HUMAN,OrganismalFitness,0.14975706405374073,1
CBX4_HUMAN,Stability,-0.2740577147353331,1
CCDB_ECOLI,Activity,-0.007089479734023109,1
CCDB_ECOLI,OrganismalFitness,0.027460222748653108,1
CCR5_HUMAN,Binding,0.20292989294325944,1
CD19_HUMAN,Binding,-0.09719182247699744,1
CP2C9_HUMAN,Binding,0.32171192480225036,1
CP2C9_HUMAN,Expression,0.3232626745096756,1
CSN4_MOUSE,Stability,0.20280932351738595,1
