DMS_id,UniProt_ID,selection_type,spearman,n_variants
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,0.058662719796369375,2770
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Activity,0.33825062341690887,5345
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.47962943462281676,10094
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.07576089420443373,496137
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Activity,0.3891884532761027,6227
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Binding,0.09637506267280445,2223
RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,0.02913791544583483,12003
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Activity,0.5741229993398996,1567
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,0.21893617698235796,1380
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Activity,0.4708934595934375,3637
TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.5069082860727676,1519
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Expression,0.4281899175821934,245
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,OrganismalFitness,0.5411185888141722,989
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Expression,0.31841113025592915,359
PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.6639724876818195,37708
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.46057535831999447,12729
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Stability,0.3774813055160231,2915
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,OrganismalFitness,0.14503636058889066,224
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,0.29724612155416735,3297
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Stability,0.697262280591052,2068
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Stability,0.4287327468620039,912
A4D664_9INFA_Soh_2019,A4D664_9INFA,OrganismalFitness,0.01429061589925615,14421
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Stability,0.6480547908201132,1903
SERC_HUMAN_Xie_2023,SERC_HUMAN,OrganismalFitness,0.44562497188172523,1914
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Stability,0.6474376726124327,1556
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Activity,0.33814344608240543,9576
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,0.20387785369777944,209
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,OrganismalFitness,0.22874177314162247,1801
A4_HUMAN_Seuma_2022,A4_HUMAN,Stability,0.34860552175565895,14811
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,Stability,0.30947027597324245,1195
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,OrganismalFitness,-0.22767467349054327,7467
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,Stability,0.42714270370268315,723
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Expression,0.2564860544730484,6769
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,OrganismalFitness,0.5710658060701216,4783
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Stability,-0.2707925982336787,2972
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,OrganismalFitness,0.2696132898712682,1195
DYR_ECOLI_Thompson_2019,DYR_ECOLI,OrganismalFitness,0.3634970646555008,2363
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,OrganismalFitness,0.41721282581578867,12464
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,OrganismalFitness,0.2854013454574481,562
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,Stability,0.6110203751243176,1583
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,OrganismalFitness,0.3079052228327681,16749
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Activity,0.41851980753550844,63
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,OrganismalFitness,0.4367576261634468,12577
MET_HUMAN_Estevam_2023,MET_HUMAN,Activity,0.5301416661125432,5393
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,Stability,0.3905541677562845,1040
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Binding,0.35149881641384306,6137
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,Stability,0.02513894749161359,2105
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Stability,0.4722111201480368,1886
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,OrganismalFitness,-0.0654574113504596,9576
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Activity,0.7098825825397954,167529
SPG1_STRSG_Olson_2014,SPG1_STRSG,Binding,0.24671910207971842,536962
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,OrganismalFitness,0.15757306471940602,1196
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Activity,0.25267389722169115,6396
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Stability,0.5883442103976481,2482
HSP82_YEAST_Mishra_2016,HSP82_YEAST,OrganismalFitness,0.5249727643163359,4323
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,Stability,0.7324221107832772,1960
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,OrganismalFitness,0.013999676686500246,1577
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,OrganismalFitness,0.4770828668112691,8570
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,OrganismalFitness,0.3029610818633865,4960
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,Activity,0.46892756379040723,697
ANCSZ_Hobbs_2022,ANCSZ,Activity,0.560861706042245,4670
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,Stability,0.23933972248876487,1212
PA_I34A1_Wu_2015,PA_I34A1,OrganismalFitness,0.017862075305134187,1820
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,OrganismalFitness,0.25611185859914426,4007
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,OrganismalFitness,0.66980451783225,6976
ENV_HV1BR_Haddox_2016,ENV_HV1BR,OrganismalFitness,0.2857262447084411,12863
CCDB_ECOLI_Tripathi_2016,CCDB_ECOLI,OrganismalFitness,-0.005806376195615466,1663
F7YBW8_MESOW_Ding_2023,F7YBW8_MESOW,OrganismalFitness,0.44464731094444876,7922
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,OrganismalFitness,-0.17246519046157488,7467
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Stability,0.298344425968786,2172
HSP82_YEAST_Flynn_2019,HSP82_YEAST,OrganismalFitness,0.22822151369532812,13294
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Stability,0.3281565265611746,1301
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,Expression,0.27233869214399686,26012
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,Activity,0.5985145471427848,1680
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,Stability,0.40337555554148385,3622
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,OrganismalFitness,-0.1666179254370635,7467
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,OrganismalFitness,0.5046820633202668,2916
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,Binding,0.6132435768166117,6142
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,Stability,0.13787068608272232,1453
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,OrganismalFitness,0.08048330545607059,2350
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,OrganismalFitness,0.2518105165749872,10972
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,OrganismalFitness,0.49145268841239853,1367
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,Stability,0.7977005396014363,2264
POLG_HCVJF_Qi_2014,POLG_HCVJF,OrganismalFitness,0.12109442253850236,1630
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Activity,-0.026751136401105723,922
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,OrganismalFitness,0.3038231301775807,1837
GCN4_YEAST_Staller_2018,GCN4_YEAST,Binding,0.21218773482621608,2638
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,Stability,0.4766796010219491,3295
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Stability,0.11663269027088034,1572
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,Stability,0.11107464373572934,1326
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,OrganismalFitness,0.24222619610100302,1813
