DMS_id,UniProt_ID,selection_type,spearman,n_variants
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,0.07945087080659087,2770
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Activity,0.37939205271560683,5345
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.4997713565474975,10094
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.17810527432210574,496137
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Activity,0.3885875464517916,6227
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Binding,0.06375839170212982,2223
RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,0.054714784084630375,12003
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Activity,0.5253783029290261,1567
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,0.30476165073513967,1380
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Activity,0.4464412007703526,3637
TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.524453525037775,1519
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Expression,0.39847089080829534,245
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,OrganismalFitness,0.49227881209202295,989
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Expression,0.29572375316724814,359
PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.6353405701885746,37708
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.4502295700238805,12729
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Stability,0.38257500253876164,2915
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,OrganismalFitness,0.17514359248464714,224
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,0.356766229222123,3297
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Stability,0.5650383307029118,2068
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Stability,0.5345207174509496,912
A4D664_9INFA_Soh_2019,A4D664_9INFA,OrganismalFitness,0.0036865396354477686,14421
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Stability,0.6790679650453527,1903
SERC_HUMAN_Xie_2023,SERC_HUMAN,OrganismalFitness,0.40663090021605797,1914
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Stability,0.7233685852527435,1556
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Activity,0.3159843438295239,9576
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,0.317934800158158,209
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,OrganismalFitness,0.2063610416636744,1801
A4_HUMAN_Seuma_2022,A4_HUMAN,Stability,0.3623231822672442,14811
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,Stability,0.39236419043106413,1195
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,OrganismalFitness,-0.2107307266806473,7467
VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,Stability,0.4521125423301828,723
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Expression,0.21889336756125563,6769
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,OrganismalFitness,0.5340625066009246,4783
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,Stability,-0.015584049914731559,2972
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,OrganismalFitness,0.4181751826046042,1195
DYR_ECOLI_Thompson_2019,DYR_ECOLI,OrganismalFitness,0.38035760192508045,2363
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,OrganismalFitness,0.3890312042363258,12464
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,OrganismalFitness,0.3514288071262978,562
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,Stability,0.7061846691813923,1583
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,OrganismalFitness,0.299942006200587,16749
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Activity,0.15423942404236138,63
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,OrganismalFitness,0.4404921869236255,12577
MET_HUMAN_Estevam_2023,MET_HUMAN,Activity,0.5111792732579117,5393
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,Stability,0.35531279070058436,1040
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,Binding,0.35085742257890634,6137
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,Stability,0.014895870421889754,2105
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,Stability,0.48128690487076115,1886
