DMS_id,UniProt_ID,selection_type,spearman,n_variants
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,0.5300972704849234,2770
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Activity,0.3006859014111397,5345
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.5355116276111821,10094
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.5502517104241897,496137
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Activity,0.6404897660845815,6227
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Binding,0.30849970500792834,2223
RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,0.20832029237162386,12003
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Activity,0.5924409403163007,1567
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,0.24828899917461128,1380
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Activity,0.33877737907858174,3637
TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.6542687182959791,1519
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Expression,0.3856955177112829,245
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,OrganismalFitness,0.4962541908875629,989
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Expression,0.41850230690091456,359
PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.7016768137362359,37708
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.4843160645463275,12729
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Stability,0.4462540051497767,2915
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,OrganismalFitness,0.20687661523032738,224
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,0.5725284583856565,3297
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Stability,0.7247872356504127,2068
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Stability,0.4136858886762655,912
A4D664_9INFA_Soh_2019,A4D664_9INFA,OrganismalFitness,0.12855693327032333,14421
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,Stability,0.532457544568492,1903
SERC_HUMAN_Xie_2023,SERC_HUMAN,OrganismalFitness,0.5250211371630494,1914
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,Stability,0.6805840711761613,1556
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Activity,0.5015378208115893,9576
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,Activity,0.40872526285457117,209
