UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.07013628442358534,1
A0A192B1T2_9HIV1,OrganismalFitness,0.4404921869236255,1
A0A1I9GEU1_NEIME,Activity,-0.03604354007784793,1
A0A247D711_LISMN,Activity,0.07403826385124228,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.030701321605191297,2
A4D664_9INFA,OrganismalFitness,0.0036865396354477686,1
A4GRB6_PSEAI,OrganismalFitness,0.48676926557757216,1
A4_HUMAN,Stability,0.3623231822672442,1
AACC1_PSEAI,OrganismalFitness,0.2063610416636744,1
ACE2_HUMAN,Binding,0.06375839170212982,1
ADRB2_HUMAN,Activity,0.47899829434728164,1
AICDA_HUMAN,Activity,0.317934800158158,1
AMFR_HUMAN,Stability,-0.015584049914731559,1
AMIE_PSEAE,Activity,0.3885875464517916,1
ANCSZ,Activity,0.5515390110116116,1
ARGR_ECOLI,Stability,0.26366569703147064,1
B2L11_HUMAN,Binding,0.07065431449682016,1
BBC1_YEAST,Stability,0.4290298974270481,1
BCHB_CHLTE,Stability,0.11191017865630015,1
BLAT_ECOLX,OrganismalFitness,0.479134011963717,4
BRCA1_HUMAN,OrganismalFitness,0.30199962476429765,1
BRCA2_HUMAN,OrganismalFitness,0.012731686351998684,1
C6KNH7_9INFA,OrganismalFitness,-0.018534533487044834,1
CALM1_HUMAN,OrganismalFitness,0.2541171518488762,1
CAPSD_AAV2S,OrganismalFitness,0.197464094007599,1
CAR11_HUMAN,OrganismalFitness,0.10863183166950297,2
CAS9_STRP1,Activity,0.059557608339029296,1
CASP3_HUMAN,Activity,0.5253783029290261,1
CASP7_HUMAN,Activity,0.5431782265048191,1
CATR_CHLRE,Stability,0.6790679650453527,1
CBPA2_HUMAN,Stability,0.5650383307029118,1
CBS_HUMAN,OrganismalFitness,0.31887800026340624,1
CBX4_HUMAN,Stability,0.6704184312461129,1
CCDB_ECOLI,Activity,0.025010689021867635,1
CCDB_ECOLI,OrganismalFitness,0.022210031421023565,1
CCR5_HUMAN,Binding,0.35085742257890634,1
CD19_HUMAN,Binding,0.08870735988438093,1
CP2C9_HUMAN,Binding,0.6270277665868421,1
CP2C9_HUMAN,Expression,0.5852590767954458,1
CSN4_MOUSE,Stability,0.563521362616256,1
CUE1_YEAST,Stability,0.2492053299332734,1
D7PM05_CLYGR,Activity,0.05957007577164542,1
DLG4_HUMAN,OrganismalFitness,0.7128069406163768,1
DLG4_RAT,Binding,0.4979460808769966,1
DN7A_SACS2,Stability,0.22643338455688636,1
DNJA1_HUMAN,Stability,0.7969298956119052,1
DOCK1_MOUSE,Stability,0.38257500253876164,1
DYR_ECOLI,OrganismalFitness,0.43673957991189727,2
ENVZ_ECOLI,Activity,0.18828046147368316,1
ENV_HV1B9,OrganismalFitness,0.26504365950722686,1
ENV_HV1BR,OrganismalFitness,0.2895292219721383,1
EPHB2_HUMAN,Stability,0.7715234571107578,1
ERBB2_HUMAN,Expression,0.45786302297396225,1
ESTA_BACSU,Stability,0.2279006131648408,1
