UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.06848139991158639,1
A0A192B1T2_9HIV1,OrganismalFitness,0.39040028838734653,1
A0A1I9GEU1_NEIME,Activity,-0.039707655258689696,1
A0A247D711_LISMN,Activity,0.06604246323219216,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.03192797785070918,2
A4D664_9INFA,OrganismalFitness,0.005721842246731137,1
A4GRB6_PSEAI,OrganismalFitness,0.45812150031647436,1
A4_HUMAN,Stability,0.3800459469818935,1
AACC1_PSEAI,OrganismalFitness,0.21595603496296928,1
ACE2_HUMAN,Binding,0.007721192902466785,1
ADRB2_HUMAN,Activity,0.4691108597986184,1
AICDA_HUMAN,Activity,0.002422614810873063,1
AMFR_HUMAN,Stability,-0.16797419610097392,1
AMIE_PSEAE,Activity,0.36806916170361986,1
ANCSZ,Activity,0.5530471282585997,1
ARGR_ECOLI,Stability,0.3065462880327858,1
B2L11_HUMAN,Binding,0.10626635776096789,1
BBC1_YEAST,Stability,0.3694370771803288,1
BCHB_CHLTE,Stability,0.13098945171458518,1
BLAT_ECOLX,OrganismalFitness,0.3964632437552038,4
BRCA1_HUMAN,OrganismalFitness,0.188393021535251,1
BRCA2_HUMAN,OrganismalFitness,-0.007011639637772312,1
C6KNH7_9INFA,OrganismalFitness,-0.022984436055033898,1
CALM1_HUMAN,OrganismalFitness,0.2304740532359662,1
CAPSD_AAV2S,OrganismalFitness,0.21684327307610243,1
CAR11_HUMAN,OrganismalFitness,0.08278094950306489,2
CAS9_STRP1,Activity,0.0514502634938249,1
CASP3_HUMAN,Activity,0.47716835765529936,1
CASP7_HUMAN,Activity,0.5220364353179043,1
CATR_CHLRE,Stability,0.667085377283211,1
CBPA2_HUMAN,Stability,0.6266587379508948,1
CBS_HUMAN,OrganismalFitness,0.2801236839624819,1
CBX4_HUMAN,Stability,0.6921276365270177,1
CCDB_ECOLI,Activity,0.04688518085173195,1
CCDB_ECOLI,OrganismalFitness,0.049491029131394526,1
CCR5_HUMAN,Binding,0.3460761141632165,1
CD19_HUMAN,Binding,0.07508152841085483,1
CP2C9_HUMAN,Binding,0.5937040877683637,1
CP2C9_HUMAN,Expression,0.5588523758688516,1
CSN4_MOUSE,Stability,0.5248834932313363,1
CUE1_YEAST,Stability,0.22174487666768375,1
D7PM05_CLYGR,Activity,0.06374214707469099,1
DLG4_HUMAN,OrganismalFitness,0.7503862134222804,1
DLG4_RAT,Binding,0.48201480074939573,1
DN7A_SACS2,Stability,0.14260087357235837,1
DNJA1_HUMAN,Stability,0.7673478247985849,1
DOCK1_MOUSE,Stability,0.28227422332216445,1
DYR_ECOLI,OrganismalFitness,0.4098557161185341,2
ENVZ_ECOLI,Activity,0.22132412769679363,1
ENV_HV1B9,OrganismalFitness,0.3261981991467585,1
ENV_HV1BR,OrganismalFitness,0.25035271622424593,1
EPHB2_HUMAN,Stability,0.7196944430944602,1
ERBB2_HUMAN,Expression,0.4861923313067179,1
ESTA_BACSU,Stability,0.18912362548257738,1
F7YBW8_MESOW,OrganismalFitness,0.2912413148485226,2
FECA_ECOLI,Stability,0.4516179420112896,1
FKBP3_HUMAN,Stability,0.18809317045142482,1
GAL4_YEAST,OrganismalFitness,0.36655274291691087,1
GCN4_YEAST,Binding,0.17338044314869344,1
GDIA_HUMAN,OrganismalFitness,0.1973247326444118,1
GFP_AEQVI,Activity,0.11144705547227567,1
GLPA_HUMAN,Expression,0.3802252622553473,1
GRB2_HUMAN,OrganismalFitness,0.5495645792068546,1
HCP_LAMBD,Stability,0.3748954051937639,1
HECD1_HUMAN,Stability,0.18903565448508297,1
HEM3_HUMAN,Activity,0.34679136355612117,1
HIS7_YEAST,OrganismalFitness,0.06280527428596255,1
HMDH_HUMAN,OrganismalFitness,0.0065213771945373715,1
HSP82_YEAST,OrganismalFitness,0.29836140484531565,3
HXK4_HUMAN,Expression,0.14851014133065826,1
HXK4_HUMAN,OrganismalFitness,0.36516527740761956,1
I6TAH8_I68A0,OrganismalFitness,0.02150636105843746,1
IF1_ECOLI,OrganismalFitness,0.30757111326720205,1
ILF3_HUMAN,Stability,0.3089976728700779,1
ISDH_STAAW,Stability,0.3731444613888811,1
KCNE1_HUMAN,Activity,0.1959638759248689,1
KCNE1_HUMAN,Expression,0.18339724636987967,1
KCNH2_HUMAN,Activity,0.3086027795990168,1
KCNJ2_MOUSE,Activity,0.18633914746570227,1
KCNJ2_MOUSE,Expression,0.28473340716507467,1
KKA2_KLEPN,OrganismalFitness,0.23233759071949917,1
LGK_LIPST,Activity,0.280105772792891,1
LYAM1_HUMAN,Expression,0.326299969890037,1
MAFG_MOUSE,Stability,0.4519363314907515,1
MBD11_ARATH,Stability,-0.03448737062911509,1
MET_HUMAN,Activity,0.5100842342107551,1
MK01_HUMAN,OrganismalFitness,0.206194202641368,1
MLAC_ECOLI,OrganismalFitness,0.19310421119595872,1
MSH2_HUMAN,OrganismalFitness,0.29174111804704517,1
MTH3_HAEAE,OrganismalFitness,0.316986628393087,1
MTHR_HUMAN,OrganismalFitness,0.33592987484164744,1
MYO3_YEAST,Stability,0.2711714058081827,1
NCAP_I34A1,OrganismalFitness,0.03271830415384655,1
NKX31_HUMAN,Stability,0.6364258388978055,1
NPC1_HUMAN,Activity,0.33211633261927576,2
NRAM_I33A0,OrganismalFitness,-0.09149293028375152,1
NUD15_HUMAN,Expression,0.3387668986706677,1
NUSA_ECOLI,Stability,0.4016663421300374,1
NUSG_MYCTU,Stability,0.4753009329375937,1
OBSCN_HUMAN,Stability,0.6096203033907437,1
ODP2_GEOSE,Stability,0.10017654026270735,1
OPSD_HUMAN,Expression,0.45773874203082965,1
OTC_HUMAN,Activity,0.3872529580927894,1
OTU7A_HUMAN,Stability,0.4723457177437515,1
OXDA_RHOTO,Activity,0.15315646596414972,1
OXDA_RHOTO,Expression,0.21109837196177922,1
P53_HUMAN,OrganismalFitness,-0.08999203062071165,4
P84126_THETH,OrganismalFitness,0.5316706559312956,1
PABP_YEAST,OrganismalFitness,0.606271569760258,1
PAI1_HUMAN,Activity,0.35605592231234134,1
PA_I34A1,OrganismalFitness,0.02635725377706703,1
PHOT_CHLRE,Activity,0.6785302872029291,1
PIN1_HUMAN,Stability,0.6700177081615989,1
PITX2_HUMAN,Stability,0.5336492610810356,1
PKN1_HUMAN,Stability,0.39367288350685536,1
POLG_CXB3N,OrganismalFitness,-0.06590658921373359,1
POLG_DEN26,OrganismalFitness,-0.04676481605082618,1
POLG_HCVJF,OrganismalFitness,0.08366914630482797,1
POLG_PESV,Stability,0.07332978631781195,1
PPARG_HUMAN,Activity,0.27794557519788743,1
PPM1D_HUMAN,OrganismalFitness,0.3635325481401989,1
PR40A_HUMAN,Stability,0.49255638345275904,1
PRKN_HUMAN,Expression,0.3029211248832776,1
PSAE_PICP2,Stability,0.5545274060361792,1
PTEN_HUMAN,Activity,0.38743943436192907,1
PTEN_HUMAN,Expression,0.24695528415123452,1
Q2N0S5_9HIV1,OrganismalFitness,0.42558216366211193,1
Q53Z42_HUMAN,Binding,0.4022842832215417,1
Q53Z42_HUMAN,Expression,0.4763641067928026,1
Q59976_STRSQ,Activity,0.4799971509186266,1
Q6WV12_9MAXI,Activity,0.0376230776140849,1
Q837P4_ENTFA,Activity,0.4686380289773929,1
Q837P5_ENTFA,Activity,0.21515726541209612,1
Q8WTC7_9CNID,Activity,-0.018181687588887316,1
R1AB_SARS2,OrganismalFitness,-0.03499165955746552,1
RAD_ANTMA,Stability,0.5922582708046886,1
RAF1_HUMAN,OrganismalFitness,0.1954182515720089,1
RASH_HUMAN,Activity,0.4595653444776575,1
RASK_HUMAN,Binding,0.6035177792399045,1
RASK_HUMAN,Expression,0.29965833489180094,1
RBP1_HUMAN,Stability,0.3304551586021894,1
RCD1_ARATH,Stability,0.3434243146968517,1
RCRO_LAMBD,Stability,0.34928163601578616,1
RD23A_HUMAN,Stability,0.4788221572791122,1
RDRP_I33A0,OrganismalFitness,0.048309377424895314,1
REV_HV1H2,OrganismalFitness,0.061669552092131756,1
RFAH_ECOLI,Stability,0.031271622752307604,1
RL20_AQUAE,Stability,0.25035437360751456,1
RL40A_YEAST,Activity,0.3263298268382904,1
