UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.03572951246431905,1
A0A192B1T2_9HIV1,OrganismalFitness,0.2502143849203448,1
A0A1I9GEU1_NEIME,Activity,0.04610193604772494,1
A0A247D711_LISMN,Activity,0.09995269198196016,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.12084625618546728,2
A4D664_9INFA,OrganismalFitness,-0.04282672688794104,1
A4GRB6_PSEAI,OrganismalFitness,0.1349926943449898,1
A4_HUMAN,Stability,0.07228412597803796,1
AACC1_PSEAI,OrganismalFitness,0.16732592149720635,1
ACE2_HUMAN,Binding,0.16103373509808966,1
ADRB2_HUMAN,Activity,0.2428164920111651,1
AICDA_HUMAN,Activity,0.12140347828642663,1
AMFR_HUMAN,Stability,0.3221366240250761,1
AMIE_PSEAE,Activity,0.35121405818642104,1
ANCSZ,Activity,0.16245861879514242,1
ARGR_ECOLI,Stability,0.6096357268174158,1
B2L11_HUMAN,Binding,0.1114099205549551,1
BBC1_YEAST,Stability,0.420428471185092,1
BCHB_CHLTE,Stability,0.3068577628702127,1
BLAT_ECOLX,OrganismalFitness,0.2315452407099789,4
BRCA1_HUMAN,OrganismalFitness,0.2687481993219236,1
BRCA2_HUMAN,OrganismalFitness,0.2817124285843253,1
C6KNH7_9INFA,OrganismalFitness,0.1300339124574987,1
CALM1_HUMAN,OrganismalFitness,0.1716427751238033,1
CAPSD_AAV2S,OrganismalFitness,0.2558881090304429,1
CAR11_HUMAN,OrganismalFitness,0.40157786163830483,2
CAS9_STRP1,Activity,0.059721316555757985,1
CASP3_HUMAN,Activity,0.22688245779280544,1
CASP7_HUMAN,Activity,0.1414943508291047,1
CATR_CHLRE,Stability,0.5416745453127367,1
CBPA2_HUMAN,Stability,0.7359134863152711,1
CBS_HUMAN,OrganismalFitness,0.037580997275785795,1
CBX4_HUMAN,Stability,0.6529184808468382,1
CCDB_ECOLI,Activity,0.4485547459246662,1
CCDB_ECOLI,OrganismalFitness,0.4861060422338607,1
CCR5_HUMAN,Binding,0.18407583138388228,1
CD19_HUMAN,Binding,0.06981904644627891,1
CP2C9_HUMAN,Binding,0.1314599403389531,1
CP2C9_HUMAN,Expression,0.21829054920290752,1
CSN4_MOUSE,Stability,0.4987395471150229,1
CUE1_YEAST,Stability,0.508534262878833,1
D7PM05_CLYGR,Activity,0.06435117909555607,1
DLG4_HUMAN,OrganismalFitness,0.10448479479363229,1
DLG4_RAT,Binding,-0.022592225149476827,1
DN7A_SACS2,Stability,0.2164362535075276,1
DNJA1_HUMAN,Stability,0.7555654855485477,1
DOCK1_MOUSE,Stability,0.4847523704581212,1
DYR_ECOLI,OrganismalFitness,0.4482538508564973,2
ENVZ_ECOLI,Activity,0.1813070165012608,1
ENV_HV1B9,OrganismalFitness,-0.23208727193035888,1
ENV_HV1BR,OrganismalFitness,0.14410628594298117,1
EPHB2_HUMAN,Stability,0.7753604131391909,1
ERBB2_HUMAN,Expression,0.43584261047607914,1
ESTA_BACSU,Stability,0.0979626143501762,1
F7YBW8_MESOW,OrganismalFitness,0.4099776152153939,2
FECA_ECOLI,Stability,0.545706382141823,1
FKBP3_HUMAN,Stability,0.19077247104694414,1
GAL4_YEAST,OrganismalFitness,0.6020758046973986,1
GCN4_YEAST,Binding,0.2466614342436372,1
GDIA_HUMAN,OrganismalFitness,0.25190034600028016,1
GFP_AEQVI,Activity,0.08940098713543214,1
GLPA_HUMAN,Expression,0.3713298354127737,1
GRB2_HUMAN,OrganismalFitness,0.28628072443847696,1
HCP_LAMBD,Stability,0.7032345273418906,1
HECD1_HUMAN,Stability,0.2479335735783453,1
HEM3_HUMAN,Activity,0.13513752779623053,1
HIS7_YEAST,OrganismalFitness,0.3889846108408081,1
HMDH_HUMAN,OrganismalFitness,-0.10959362715499141,1
HSP82_YEAST,OrganismalFitness,0.23659570311223413,3
HXK4_HUMAN,Expression,0.05665275686293937,1
HXK4_HUMAN,OrganismalFitness,0.21908308451772143,1
I6TAH8_I68A0,OrganismalFitness,0.06723667477725205,1
IF1_ECOLI,OrganismalFitness,0.49261674148671886,1
ILF3_HUMAN,Stability,0.4034268559838226,1
ISDH_STAAW,Stability,0.4332695212914276,1
KCNE1_HUMAN,Activity,0.5438886666577748,1
KCNE1_HUMAN,Expression,0.0058848466886317775,1
KCNH2_HUMAN,Activity,0.35130728268206707,1
KCNJ2_MOUSE,Activity,0.13604677212451924,1
KCNJ2_MOUSE,Expression,0.19674100740618508,1
KKA2_KLEPN,OrganismalFitness,0.08247297243159181,1
LGK_LIPST,Activity,0.24462315305866802,1
LYAM1_HUMAN,Expression,0.40172242895654964,1
MAFG_MOUSE,Stability,0.5554620121573565,1
MBD11_ARATH,Stability,0.6808894806205301,1
MET_HUMAN,Activity,0.561185822001328,1
MK01_HUMAN,OrganismalFitness,-0.10083503889403876,1
