DMS_id,UniProt_ID,selection_type,spearman,n_variants
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,Stability,0.39598605880998033,2770
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Activity,0.07722936821213126,5345
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,Activity,0.48149306240884454,10094
HIS7_YEAST_Pokusaeva_2019,HIS7_YEAST,OrganismalFitness,0.3889846108408081,496137
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,Activity,0.35121405818642104,6227
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,Binding,0.16103373509808966,2223
RDRP_I33A0_Li_2023,RDRP_I33A0,OrganismalFitness,0.0986706938208906,12003
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,Activity,0.22688245779280544,1567
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,Activity,0.268874350111642,1380
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,Activity,0.033282034094529414,3637
TRPC_SACS2_Chan_2017,TRPC_SACS2,OrganismalFitness,0.20020352338851374,1519
GLPA_HUMAN_Elazar_2016,GLPA_HUMAN,Expression,0.3713298354127737,245
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,OrganismalFitness,0.24505346128330568,989
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Expression,0.40172242895654964,359
PABP_YEAST_Melamed_2013,PABP_YEAST,OrganismalFitness,0.24086441075780263,37708
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,OrganismalFitness,0.2716359771398756,12729
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Stability,0.4847523704581212,2915
SCN5A_HUMAN_Glazer_2019,SCN5A_HUMAN,OrganismalFitness,0.22875801641339366,224
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Stability,0.6042389714330115,3297
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,Stability,0.7359134863152711,2068
