UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.02478048755150308,1
A0A192B1T2_9HIV1,OrganismalFitness,0.4515752027346944,1
A0A1I9GEU1_NEIME,Activity,0.038139645667596804,1
A0A247D711_LISMN,Activity,0.08414493751437647,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.23243593677596391,2
A4D664_9INFA,OrganismalFitness,0.12855693327032333,1
A4GRB6_PSEAI,OrganismalFitness,0.6498348574757973,1
A4_HUMAN,Stability,0.3722481980910533,1
AACC1_PSEAI,OrganismalFitness,0.4789979805680969,1
ACE2_HUMAN,Binding,0.30849970500792834,1
ADRB2_HUMAN,Activity,0.4963700249459564,1
AICDA_HUMAN,Activity,0.40872526285457117,1
AMFR_HUMAN,Stability,0.3577756977548443,1
AMIE_PSEAE,Activity,0.6404897660845815,1
ANCSZ,Activity,0.5308235582359088,1
ARGR_ECOLI,Stability,0.5151942744748208,1
B2L11_HUMAN,Binding,0.29997252092989174,1
BBC1_YEAST,Stability,0.4682496412929227,1
BCHB_CHLTE,Stability,0.4680702189756612,1
BLAT_ECOLX,OrganismalFitness,0.4445937509088302,4
BRCA1_HUMAN,OrganismalFitness,0.5096898369240583,1
BRCA2_HUMAN,OrganismalFitness,0.42206567017887775,1
C6KNH7_9INFA,OrganismalFitness,0.21963068975283143,1
CALM1_HUMAN,OrganismalFitness,0.28358221340036305,1
CAPSD_AAV2S,OrganismalFitness,0.24713661971682394,1
CAR11_HUMAN,OrganismalFitness,0.4243624220204271,2
CAS9_STRP1,Activity,0.14924397244252474,1
CASP3_HUMAN,Activity,0.5924409403163007,1
CASP7_HUMAN,Activity,0.6065766721349969,1
CATR_CHLRE,Stability,0.532457544568492,1
CBPA2_HUMAN,Stability,0.7247872356504127,1
CBS_HUMAN,OrganismalFitness,0.3844689911239563,1
CBX4_HUMAN,Stability,0.5740164493563259,1
CCDB_ECOLI,Activity,0.4395924973082551,1
CCDB_ECOLI,OrganismalFitness,0.46283400452645695,1
CCR5_HUMAN,Binding,0.33569459111969596,1
CD19_HUMAN,Binding,0.06354592616686427,1
CP2C9_HUMAN,Binding,0.4596470524256638,1
CP2C9_HUMAN,Expression,0.4685052304503228,1
CSN4_MOUSE,Stability,0.43120524809246596,1
CUE1_YEAST,Stability,0.5259064919134838,1
D7PM05_CLYGR,Activity,0.08223610810563628,1
DLG4_HUMAN,OrganismalFitness,0.4463244983251281,1
DLG4_RAT,Binding,0.4324967172971101,1
DN7A_SACS2,Stability,0.3116212727341663,1
DNJA1_HUMAN,Stability,0.706067956579478,1
DOCK1_MOUSE,Stability,0.44625400514977664,1
DYR_ECOLI,OrganismalFitness,0.39914519862424486,2
ENVZ_ECOLI,Activity,0.13270211063069964,1
ENV_HV1B9,OrganismalFitness,0.393420071157974,1
ENV_HV1BR,OrganismalFitness,0.3187676376617747,1
EPHB2_HUMAN,Stability,0.7717632646495082,1
ERBB2_HUMAN,Expression,0.40364721270085857,1
ESTA_BACSU,Stability,0.36928481558841275,1
F7YBW8_MESOW,OrganismalFitness,0.4731956788665496,2
FECA_ECOLI,Stability,0.4316625345833841,1
FKBP3_HUMAN,Stability,0.19218581784523947,1
GAL4_YEAST,OrganismalFitness,0.6519399759031873,1
GCN4_YEAST,Binding,0.248575074972691,1
GDIA_HUMAN,OrganismalFitness,0.42420590794288104,1
GFP_AEQVI,Activity,0.09991092259570096,1
GLPA_HUMAN,Expression,0.3856955177112829,1
GRB2_HUMAN,OrganismalFitness,0.376131711422,1
HCP_LAMBD,Stability,0.6364758885829079,1
HECD1_HUMAN,Stability,0.41437127042489613,1
HEM3_HUMAN,Activity,0.35915805345693363,1
HIS7_YEAST,OrganismalFitness,0.5502517104241896,1
HMDH_HUMAN,OrganismalFitness,0.36738768271684585,1
HSP82_YEAST,OrganismalFitness,0.40149199091073157,3
HXK4_HUMAN,Expression,0.36461429402276696,1
HXK4_HUMAN,OrganismalFitness,0.4172178018707502,1
I6TAH8_I68A0,OrganismalFitness,0.026043131379025423,1
IF1_ECOLI,OrganismalFitness,0.4608932719376603,1
ILF3_HUMAN,Stability,0.2867058246393813,1
ISDH_STAAW,Stability,0.44165240504199904,1
KCNE1_HUMAN,Activity,0.43884186946648923,1
KCNE1_HUMAN,Expression,0.06412994383049833,1
KCNH2_HUMAN,Activity,0.09359783994599867,1
KCNJ2_MOUSE,Activity,0.3317014607047435,1
KCNJ2_MOUSE,Expression,0.2671697886150918,1
KKA2_KLEPN,OrganismalFitness,0.6629466553028849,1
LGK_LIPST,Activity,0.5764533075062157,1
LYAM1_HUMAN,Expression,0.41850230690091456,1
MAFG_MOUSE,Stability,0.4526145200454672,1
MBD11_ARATH,Stability,0.7616948384626893,1
MET_HUMAN,Activity,0.5964775979229691,1
MK01_HUMAN,OrganismalFitness,-0.05440574231481438,1
MLAC_ECOLI,OrganismalFitness,0.3761838300563073,1
MSH2_HUMAN,OrganismalFitness,0.32118483286269345,1
MTH3_HAEAE,OrganismalFitness,0.6740485853618655,1
MTHR_HUMAN,OrganismalFitness,0.400368870145332,1
MYO3_YEAST,Stability,0.5725284583856565,1
NCAP_I34A1,OrganismalFitness,0.04521351703574565,1
NKX31_HUMAN,Stability,0.5078697134930504,1
NPC1_HUMAN,Activity,0.5599342034615088,2
NRAM_I33A0,OrganismalFitness,0.015391054492309233,1
NUD15_HUMAN,Expression,0.5558015673240777,1
NUSA_ECOLI,Stability,0.4735925015613787,1
NUSG_MYCTU,Stability,0.3309766675904623,1
OBSCN_HUMAN,Stability,0.7364926030208024,1
ODP2_GEOSE,Stability,0.19554368205837344,1
OPSD_HUMAN,Expression,0.5140410867416451,1
OTC_HUMAN,Activity,0.5498711069980684,1
OTU7A_HUMAN,Stability,0.37867805956432093,1
OXDA_RHOTO,Activity,0.4022704579986128,1
OXDA_RHOTO,Expression,0.3852087161217337,1
P53_HUMAN,OrganismalFitness,0.5495379638451184,4
P84126_THETH,OrganismalFitness,0.6009285656701715,1
PABP_YEAST,OrganismalFitness,0.7016768137362359,1
PAI1_HUMAN,Activity,0.3006859014111397,1
PA_I34A1,OrganismalFitness,0.07019722998740889,1
PHOT_CHLRE,Activity,0.6831429551236484,1
PIN1_HUMAN,Stability,0.5567786426164568,1
PITX2_HUMAN,Stability,0.3510952596024286,1
PKN1_HUMAN,Stability,0.2624990184247331,1
POLG_CXB3N,OrganismalFitness,0.34040409701080376,1
POLG_DEN26,OrganismalFitness,0.3400728144554058,1
