UniProt_ID,selection_type,uniprot_spearman,n_assays
A0A140D2T1_ZIKV,OrganismalFitness,-0.0654574113504596,1
A0A192B1T2_9HIV1,OrganismalFitness,0.4367576261634468,1
A0A1I9GEU1_NEIME,Activity,-0.026751136401105723,1
A0A247D711_LISMN,Activity,0.06222151595138242,1
A0A2Z5U3Z0_9INFA,OrganismalFitness,0.05576002503223789,2
A4D664_9INFA,OrganismalFitness,0.01429061589925615,1
A4GRB6_PSEAI,OrganismalFitness,0.5532896526327817,1
A4_HUMAN,Stability,0.34860552175565895,1
AACC1_PSEAI,OrganismalFitness,0.22874177314162247,1
ACE2_HUMAN,Binding,0.09637506267280445,1
ADRB2_HUMAN,Activity,0.49128725033656273,1
AICDA_HUMAN,Activity,0.20387785369777944,1
AMFR_HUMAN,Stability,-0.2707925982336787,1
AMIE_PSEAE,Activity,0.3891884532761027,1
ANCSZ,Activity,0.560861706042245,1
ARGR_ECOLI,Stability,0.37778498455003684,1
B2L11_HUMAN,Binding,0.1856007660013582,1
BBC1_YEAST,Stability,0.4028006300348271,1
BCHB_CHLTE,Stability,0.11663269027088034,1
BLAT_ECOLX,OrganismalFitness,0.5169123211491594,4
BRCA1_HUMAN,OrganismalFitness,0.3038231301775807,1
BRCA2_HUMAN,OrganismalFitness,-0.035968824590109374,1
C6KNH7_9INFA,OrganismalFitness,-0.007172436967483582,1
CALM1_HUMAN,OrganismalFitness,0.24222619610100302,1
CAPSD_AAV2S,OrganismalFitness,0.22918077281919216,1
CAR11_HUMAN,OrganismalFitness,0.09598101290626176,2
CAS9_STRP1,Activity,0.06669716427560007,1
CASP3_HUMAN,Activity,0.5741229993398996,1
CASP7_HUMAN,Activity,0.5985145471427848,1
CATR_CHLRE,Stability,0.6480547908201132,1
CBPA2_HUMAN,Stability,0.697262280591052,1
CBS_HUMAN,OrganismalFitness,0.3166616289741861,1
CBX4_HUMAN,Stability,0.6983793129637951,1
CCDB_ECOLI,Activity,-0.009341749182911304,1
CCDB_ECOLI,OrganismalFitness,-0.005806376195615466,1
CCR5_HUMAN,Binding,0.35149881641384306,1
CD19_HUMAN,Binding,0.09195009366385598,1
CP2C9_HUMAN,Binding,0.6132435768166117,1
CP2C9_HUMAN,Expression,0.5721706053472299,1
CSN4_MOUSE,Stability,0.4766796010219491,1
CUE1_YEAST,Stability,0.26281423352646194,1
D7PM05_CLYGR,Activity,0.04051628428270287,1
DLG4_HUMAN,OrganismalFitness,0.66980451783225,1
DLG4_RAT,Binding,0.5328164847254484,1
DN7A_SACS2,Stability,0.12960795138452025,1
DNJA1_HUMAN,Stability,0.7977005396014363,1
DOCK1_MOUSE,Stability,0.3774813055160231,1
DYR_ECOLI,OrganismalFitness,0.4340895639878838,2
ENVZ_ECOLI,Activity,0.16498068924948125,1
ENV_HV1B9,OrganismalFitness,0.30426420063986165,1
ENV_HV1BR,OrganismalFitness,0.2857262447084411,1
EPHB2_HUMAN,Stability,0.7324221107832772,1
ERBB2_HUMAN,Expression,0.4898621182279265,1
ESTA_BACSU,Stability,0.298344425968786,1
F7YBW8_MESOW,OrganismalFitness,0.1922486647951122,2
FECA_ECOLI,Stability,0.4722111201480368,1
FKBP3_HUMAN,Stability,0.14741920884791992,1
GAL4_YEAST,OrganismalFitness,0.44115513639835724,1
GCN4_YEAST,Binding,0.21218773482621608,1
GDIA_HUMAN,OrganismalFitness,0.2439422451991158,1
GFP_AEQVI,Activity,0.08808486110815245,1
GLPA_HUMAN,Expression,0.4281899175821934,1
GRB2_HUMAN,OrganismalFitness,0.5194654876420254,1
